rate,compare,n_both,acc_low_real,acc_high_real,delta_acc,r2w,w2r,mcnemar_p,mcnemar_p_holm
25,real10_to_real70,487,0.8624,0.8316,-0.0308,45,30,0.105969,0.635813
25,real10_to_real40,486,0.8621,0.8642,0.0021,32,33,1.0,1.0
25,real40_to_real70,488,0.8668,0.8258,-0.041,41,21,0.0158217,0.126574
50,real10_to_real70,481,0.8254,0.8295,0.0042,41,43,0.913116,1.0
50,real10_to_real40,484,0.8264,0.8285,0.0021,36,37,1.0,1.0
50,real40_to_real70,483,0.8323,0.8344,0.0021,37,38,1.0,1.0
75,real10_to_real70,481,0.8129,0.7443,-0.0686,61,28,0.000693862,0.00624475
75,real10_to_real40,480,0.8167,0.7771,-0.0396,52,33,0.0508938,0.356257
75,real40_to_real70,479,0.7808,0.7495,-0.0313,60,45,0.171857,0.859287
