config,n_corrupt_words,n_excluded,silent_fix_n,flagged_n,misread_n,not_used_n,silent_fix_frac,flagged_frac,misread_frac,not_used_frac
typo25_real10,1966,15,1589,103,38,236,0.8082,0.0524,0.0193,0.12
typo25_real40,1952,57,1501,137,50,264,0.769,0.0702,0.0256,0.1352
typo25_real70,1913,98,1403,174,79,257,0.7334,0.091,0.0413,0.1343
typo50_real10,3949,27,3060,301,95,493,0.7749,0.0762,0.0241,0.1248
typo50_real40,3893,109,2880,372,131,510,0.7398,0.0956,0.0337,0.131
typo50_real70,3777,184,2656,410,177,534,0.7032,0.1086,0.0469,0.1414
typo75_real10,5926,50,4261,755,190,720,0.719,0.1274,0.0321,0.1215
typo75_real40,5760,172,3911,835,257,757,0.679,0.145,0.0446,0.1314
typo75_real70,5670,293,3544,976,354,796,0.625,0.1721,0.0624,0.1404
