config,misread_correct,misread_wrong,wrong_over_correct,misread_n_correct,words_correct,misread_n_wrong,words_wrong
typo25_real10,0.0161,0.0383,2.383,27,1679,11,287
typo25_real40,0.0211,0.0507,2.398,35,1656,15,296
typo25_real70,0.0375,0.0574,1.53,58,1547,21,366
typo50_real10,0.0184,0.049,2.673,59,3215,36,734
typo50_real40,0.0304,0.0473,1.553,96,3153,35,740
typo50_real70,0.0446,0.0559,1.251,135,3025,42,752
typo75_real10,0.0279,0.0499,1.789,134,4804,56,1122
typo75_real40,0.0405,0.0577,1.422,178,4390,79,1370
typo75_real70,0.0531,0.0893,1.683,223,4203,131,1467
