config,n_both,r2w,w2r,r2w_ratio,w2r_ratio,net_flip_ratio,mcnemar_b,mcnemar_c,mcnemar_stat,mcnemar_p,mcnemar_p_holm
typo25_real10,487,26,30,0.0534,0.0616,-0.0082,26,30,0.161,0.6885,1.0
typo25_real40,488,27,32,0.0553,0.0656,-0.0102,27,32,0.271,0.602537,1.0
typo25_real70,489,41,26,0.0838,0.0532,0.0307,41,26,2.925,0.0871971,0.435985
typo50_real10,484,42,28,0.0868,0.0579,0.0289,42,28,2.414,0.120233,0.480931
typo50_real40,488,42,25,0.0861,0.0512,0.0348,42,25,3.821,0.0506172,0.303703
typo50_real70,484,44,30,0.0909,0.062,0.0289,44,30,2.284,0.130733,0.480931
typo75_real10,486,56,35,0.1152,0.072,0.0432,56,35,4.396,0.0360317,0.252222
typo75_real40,484,65,28,0.1343,0.0579,0.0764,65,28,13.935,0.000189193,0.00151354
typo75_real70,485,77,25,0.1588,0.0515,0.1072,77,25,25.5,4.42383e-07,3.98145e-06
